"","Year","FallRun","WinterRun","sprinrun"
"1",2018,116215,2639,2774
"2",2017,43850,977,1059
"3",2016,85123,1547,6453
"4",2015,99128,3440,1195
"5",2014,194970,3015,7125
"6",2013,335023,6084,19516
"7",2012,197493,2671,18688
"8",2011,123553,827,5805
"9",2010,111463,1596,2962
"10",2009,30426,4537,3457
"11",2008,52191,2830,11927
"12",2007,73527,2541,9228
"13",2006,208071,17296,10725
"14",2005,244282,15839,21319
"15",2004,258573,7869,12938
"16",2003,464229,8218,22035
"17",2002,766668,7441,20854
"18",2001,555922,8224,22528
"19",2000,427320,1352,5587
"20",1999,359815,3288,6369
"21",1998,167108,2992,24903
"22",1997,323909,880,1540
"23",1996,309591,1337,2702
"24",1995,280919,1297,9824
"25",1994,175045,186,2546
"26",1993,132616,387,1404
"27",1992,79164,1240,1547
"28",1991,103844,211,1623
"29",1990,62128,430,5790
"30",1989,152882,696,7085
"31",1988,239131,2878,12100
"32",1987,267373,2185,12675
"33",1986,268453,2596,24263
"34",1985,318894,5407,13589
"35",1984,216474,2763,8037
"36",1983,172305,1831,6256
"37",1982,188629,1281,25980
"38",1981,217804,22797,21636
"39",1980,140740,1156,12195
"40",1979,201286,2364,2866
"41",1978,139521,25012,7924
"42",1977,162437,17214,12545
"43",1976,180350,35596,25141
"44",1975,177188,23930,22887
"45",1974,217506,21897,9053
"46",1973,244805,24079,11225
"47",1972,138982,37133,8588
"48",1971,221544,53089,8800
"49",1970,219349,40409,7437
"50",1969,309706,NA,21030
"51",1968,194657,NA,455
"52",1967,170125,NA,330
"53",1966,184507,NA,427
"54",1965,177019,NA,1788
"55",1964,284367,NA,8021
"56",1963,285887,NA,10817
"57",1962,234126,NA,3642
"58",1961,231157,NA,4327
"59",1960,437245,NA,11068
"60",1959,454823,NA,NA
"61",1958,263252,NA,NA
"62",1957,114260,NA,NA
"63",1956,157779,NA,NA
"64",1955,382300,NA,NA
"65",1954,479000,NA,NA
"66",1953,585000,NA,NA
"67",1952,349000,NA,NA
