Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2008-01-01,Daily,2007,317,68,2007,0,,2007,141598,30-41,2007,447,114,2008,0,,5850,8.0,3.1
RedBluff,2008-01-02,Daily,2007,0,,2007,0,,2007,89536,31-41,2007,0,,2008,0,,5690,8.2,1.4
RedBluff,2008-01-03,Daily,2007,127,82-105,2007,63,43,2007,69822,33-41,2007,63,133,2008,0,,5490,8.1,2.4
RedBluff,2008-01-04,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10300,7.9,NA
RedBluff,2008-01-05,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38600,7.1,NA
RedBluff,2008-01-06,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17900,7.8,NA
RedBluff,2008-01-07,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12000,8.2,NA
RedBluff,2008-01-08,Daily,2007,2672,69-108,2007,711,49-58,2007,88523,33-42,2007,0,,2008,104,120,8490,7.9,10.7
RedBluff,2008-01-09,Daily,2007,3541,80-103,2007,908,45-50,2007,175489,32-43,2007,245,119,2008,0,,21900,7.1,98.5
RedBluff,2008-01-10,Daily,2007,1270,68-112,2007,1102,44-56,2007,102883,32-43,2007,115,125,2008,0,,14000,7.8,28.4
RedBluff,2008-01-11,Daily,2007,1068,62-110,2007,827,44-52,2007,59083,32-43,2007,0,,2008,0,,13300,8.2,23.3
RedBluff,2008-01-12,Daily,2007,688,83-110,2007,81,52,2007,47275,32-44,2007,0,,2008,0,,10700,8.6,10.4
RedBluff,2008-01-13,Daily,2007,317,83-90,2007,132,45,2007,71218,30-42,2007,0,,2008,64,82,8230,8.6,7.5
RedBluff,2008-01-14,Daily,2007,421,97,2007,0,,2007,119191,30-41,2007,0,,2008,41,92,7720,8.3,12.5
RedBluff,2008-01-15,Daily,2007,280,92-115,2007,239,46-53,2007,47858,32-45,2007,0,,2008,79,90-114,7070,7.9,4.8
RedBluff,2008-01-16,Daily,2007,251,99-110,2007,397,47,2007,89680,31-43,2007,0,,2008,47,173,6560,7.0,3.9
RedBluff,2008-01-17,Daily,2007,159,84-100,2007,498,46-47,2007,50960,32-45,2007,0,,2008,88,111-112,6050,6.9,4.5
RedBluff,2008-01-18,Daily,2007,258,89-106,2007,0,,2007,49110,33-44,2007,0,,2008,0,,5790,7.7,3.3
RedBluff,2008-01-19,Daily,2007,451,81-123,2007,0,,2007,70735,30-44,2007,0,,2008,45,127,5610,7.9,3.6
RedBluff,2008-01-20,Daily,2007,0,,2007,590,47-48,2007,85177,31-42,2007,0,,2008,0,,5400,7.6,5.0
RedBluff,2008-01-21,Daily,2007,121,94,2007,83,47,2007,51485,31-43,2007,0,,2008,0,,5360,7.6,5.3
RedBluff,2008-01-22,Daily,2007,245,70-75,2007,0,,2007,103600,31-45,2007,0,,2008,0,,6860,6.7,6.3
RedBluff,2008-01-23,Daily,2007,0,,2007,381,48-61,2007,191408,32-47,2007,0,,2008,0,,6170,6.9,4.9
RedBluff,2008-01-24,Daily,2007,227,67-86,2007,420,49-58,2007,130296,32-47,2007,0,,2008,0,,5610,7.0,4.9
RedBluff,2008-01-25,Daily,2007,0,,2007,0,,2007,94321,33-44,2007,0,,2008,0,,7710,6.7,3.9
RedBluff,2008-01-26,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37900,6.8,NA
RedBluff,2008-01-27,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39900,6.8,NA
RedBluff,2008-01-28,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15800,5.3,NA
RedBluff,2008-01-29,Daily,2007,0,,2007,950,51,2007,284289,33-45,2007,0,,2008,144,96,15300,7.7,18.6
RedBluff,2008-01-30,Daily,2007,0,,2007,856,55,2007,254082,33-47,2007,0,,2008,0,,10500,6.2,10.8
RedBluff,2008-01-31,Daily,2007,776,92-121,2007,90,53,2007,113611,32-49,2007,0,,2008,0,,9600,6.5,15.2
RedBluff,2008-02-01,Daily,2007,0,,2007,0,,2007,91408,35-42,2007,0,,2008,0,,34400,6.1,24.7
RedBluff,2008-02-02,Daily,2007,0,,2007,0,,2007,357473,33-43,2007,0,,2008,178,76,20100,6.9,25.4
RedBluff,2008-02-03,Daily,2007,5573,73-103,2007,0,,2007,596095,32-49,2007,0,,2008,0,,44600,6.1,23.5
RedBluff,2008-02-04,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43600,7.0,NA
RedBluff,2008-02-05,Daily,2007,0,,2007,0,,2007,213016,31-47,2007,0,,2008,71,111,12300,7.0,15.8
RedBluff,2008-02-06,Daily,2007,236,112,2007,0,,2007,177508,31-50,2007,0,,2008,0,,8890,7.7,10.8
RedBluff,2008-02-07,Daily,2007,0,,2007,0,,2007,96552,32-49,2007,0,,2008,0,,7640,8.2,6.5
RedBluff,2008-02-08,Daily,2007,0,,2007,294,56,2007,128872,34-50,2007,0,,2008,59,166,7070,8.2,5.7
