Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2009-01-01,Daily,2008,169,72-90,2008,144,42-43,2008,27044,30-41,2008,69,115-130,2009,0,,4910,8.9,3.4
RedBluff,2009-01-02,Daily,2008,144,85-111,2008,73,42,2008,33738,31-40,2008,0,,2009,0,,4630,8.5,2.6
RedBluff,2009-01-03,Daily,2008,193,58-108,2008,80,44-45,2008,36466,31-41,2008,77,114-118,2009,0,,5570,7.8,4.1
RedBluff,2009-01-04,Daily,2008,175,85-95,2008,204,45,2008,82670,29-39,2008,0,,2009,0,,5130,7.0,4.4
RedBluff,2009-01-05,Daily,2008,0,,2008,0,,2008,39424,30-40,2008,60,119,2009,0,,4630,7.2,3.1
RedBluff,2009-01-06,Daily,2008,0,,2008,0,,2008,20145,29-40,2008,60,188,2009,0,,4610,7.9,2.3
RedBluff,2009-01-07,Daily,2008,217,59-109,2008,105,46-56,2008,20054,32-42,2008,35,140,2009,0,,4610,8.5,2.8
RedBluff,2009-01-08,Daily,2008,121,66-105,2008,61,49,2008,7621,32-42,2008,0,,2009,0,,4610,8.9,2.6
RedBluff,2009-01-09,Daily,2008,116,63-65,2008,57,46,2008,11702,29-41,2008,0,,2009,0,,4590,8.8,2.5
RedBluff,2009-01-10,Daily,2008,75,83-96,2008,75,45-52,2008,55475,32-41,2008,0,,2009,0,,4610,8.3,2.0
RedBluff,2009-01-11,Daily,2008,0,,2008,33,46,2008,53985,32-42,2008,0,,2009,0,,4610,8.3,2.2
RedBluff,2009-01-12,Daily,2008,36,88,2008,0,,2008,48880,29-42,2008,0,,2009,101,79-123,4610,9.3,1.8
RedBluff,2009-01-13,Daily,2008,210,76-104,2008,0,,2008,38788,31-44,2008,73,121,2009,0,,4610,9.7,1.9
RedBluff,2009-01-14,Daily,2008,0,,2008,0,,2008,57389,29-44,2008,0,,2009,0,,4610,9.3,2.6
RedBluff,2009-01-15,Daily,2008,159,105,2008,0,,2008,77335,30-41,2008,0,,2009,0,,4660,8.7,2.7
RedBluff,2009-01-16,Daily,2008,121,80-104,2008,0,,2008,43011,30-41,2008,0,,2009,0,,4250,8.6,1.9
RedBluff,2009-01-17,Daily,2008,245,96-112,2008,0,,2008,52781,29-41,2008,0,,2009,0,,4230,8.5,2.4
RedBluff,2009-01-18,Daily,2008,98,116,2008,0,,2008,47104,26-41,2008,0,,2009,0,,4200,8.3,2.5
