Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2005-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11700,NA,NA
RedBluff,2005-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9150,NA,NA
RedBluff,2005-01-03,Daily,2004,173,68-78,2004,772,42-54,2004,45573,30-41,2004,0,,2005,0,,11100,8.4,14.5
RedBluff,2005-01-04,Daily,2004,0,,2004,216,42-46,2004,25037,30-41,2004,0,,2005,0,,10200,8.5,14.2
RedBluff,2005-01-05,Daily,2004,171,78-106,2004,282,44-53,2004,41048,29-42,2004,86,117,2005,0,,8330,8.5,6.8
RedBluff,2005-01-06,Daily,2004,42,68,2004,71,45,2004,10309,33-42,2004,0,,2005,66,78-103,7250,9.0,4.3
RedBluff,2005-01-07,Daily,2004,36,88,2004,35,45,2004,13003,29-41,2004,0,,2005,0,,6910,9.0,4.7
RedBluff,2005-01-08,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19600,NA,NA
RedBluff,2005-01-09,Daily,2004,2150,72-114,2004,2083,45-56,2004,203305,30-42,2004,334,118,2005,41,202,12000,7.9,9.5
RedBluff,2005-01-10,Daily,2004,298,61,2004,596,44,2004,132407,30-43,2004,0,,2005,37,187,9070,8.9,6.9
RedBluff,2005-01-11,Daily,2004,152,64-84,2004,37,51,2004,9369,32-42,2004,0,,2005,37,88,15800,8.9,54.0
RedBluff,2005-01-12,Daily,2004,241,90,2004,2213,45-56,2004,162355,30-44,2004,0,,2005,0,,17200,8.5,46.4
RedBluff,2005-01-13,Daily,2004,0,,2004,558,47-53,2004,76038,32-44,2004,0,,2005,0,,9280,7.9,15.5
RedBluff,2005-01-14,Daily,2004,75,78,2004,370,45-57,2004,29138,30-44,2004,0,,2005,0,,8330,7.8,6.1
RedBluff,2005-01-15,Daily,2004,132,77-80,2004,0,,2004,8474,30-42,2004,0,,2005,0,,7640,8.5,5.5
RedBluff,2005-01-16,Daily,2004,0,,2004,0,,2004,11081,30-43,2004,0,,2005,0,,6990,9.2,3.3
RedBluff,2005-01-17,Daily,2004,0,,2004,0,,2004,22688,31-41,2004,0,,2005,61,155,6760,9.7,3.0
RedBluff,2005-01-18,Daily,2004,0,,2004,0,,2004,28640,30-42,2004,59,156,2005,0,,6760,9.7,3.5
RedBluff,2005-01-19,Daily,2004,57,87,2004,0,,2004,26656,30-43,2004,0,,2005,0,,6640,9.8,3.3
RedBluff,2005-01-20,Daily,2004,31,119,2004,0,,2004,32358,31-41,2004,0,,2005,0,,6910,10.1,6.5
RedBluff,2005-01-21,Daily,2004,0,,2004,0,,2004,64561,30-42,2004,144,133,2005,0,,6890,9.6,5.3
RedBluff,2005-01-22,Daily,2004,0,,2004,0,,2004,45001,31-44,2004,0,,2005,0,,6780,9.6,5.6
RedBluff,2005-01-23,Daily,2004,0,,2004,59,54,2004,21179,30-41,2004,0,,2005,0,,6620,9.7,3.3
RedBluff,2005-01-24,Daily,2004,54,78,2004,0,,2004,29778,31-41,2004,0,,2005,0,,6570,9.9,2.8
RedBluff,2005-01-25,Daily,2004,0,,2004,31,49,2004,23583,31-48,2004,0,,2005,0,,6450,10.1,2.2
RedBluff,2005-01-26,Daily,2004,0,,2004,31,54,2004,17092,31-45,2004,0,,2005,0,,6530,10.5,3.0
RedBluff,2005-01-27,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33100,NA,NA
RedBluff,2005-01-28,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15700,NA,NA
RedBluff,2005-01-29,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17400,NA,NA
RedBluff,2005-01-30,Daily,2004,0,,2004,0,,2004,545937,30-46,2004,0,,2005,0,,12200,9.4,12.9
RedBluff,2005-01-31,Daily,2004,0,,2004,855,51,2004,261026,29-49,2004,0,,2005,0,,9250,9.3,5.5
RedBluff,2005-02-01,Daily,2004,0,,2004,944,51-62,2004,91032,30-48,2004,0,,2005,0,,7870,9.6,5.1
RedBluff,2005-02-02,Daily,2004,269,86,2004,439,54-57,2004,70347,29-45,2004,0,,2005,0,,7420,9.6,3.1
RedBluff,2005-02-03,Daily,2004,0,,2004,159,51-61,2004,41335,28-42,2004,0,,2005,0,,7120,9.7,3.0
RedBluff,2005-02-04,Daily,2004,0,,2004,0,,2004,31414,29-50,2004,0,,2005,0,,6680,10.1,2.0
RedBluff,2005-02-05,Daily,2004,0,,2004,0,,2004,29603,31-51,2004,0,,2005,0,,6530,9.9,2.4
RedBluff,2005-02-06,Daily,2004,0,,2004,70,61,2004,32545,31-40,2004,0,,2005,0,,6430,9.5,2.4
RedBluff,2005-02-07,Daily,2004,40,107,2004,40,62,2004,19917,29-44,2004,40,144,2005,0,,6310,9.6,1.7
RedBluff,2005-02-08,Daily,2004,33,104,2004,3355,,2004,28181,31-43,2004,0,,2005,36,212,6220,10.0,1.8
RedBluff,2005-02-09,Daily,2004,0,,2004,0,,2004,33575,30-42,2004,0,,2005,0,,6140,10.0,1.7
RedBluff,2005-02-10,Daily,2004,0,,2004,0,,2004,50553,29-42,2004,0,,2005,32,29,6100,9.9,1.4
RedBluff,2005-02-11,Daily,2004,0,,2004,0,,2004,65560,30-50,2004,0,,2005,0,,5970,9.9,1.4
RedBluff,2005-02-12,Daily,2004,0,,2004,0,,2004,52812,30-44,2004,0,,2005,0,,5950,9.8,1.5
RedBluff,2005-02-13,Daily,2004,0,,2004,0,,2004,20195,30-43,2004,0,,2005,0,,5890,10.1,1.6
RedBluff,2005-02-14,Daily,2004,28,129,2004,0,,2004,48867,29-46,2004,0,,2005,0,,9470,10.1,4.0
RedBluff,2005-02-15,Daily,2004,0,,2004,0,,2004,693116,30-43,2004,0,,2005,0,,9510,10.1,8.4
RedBluff,2005-02-16,Daily,2004,0,,2004,0,,2004,220205,30-47,2004,0,,2005,33,,7420,10.2,3.7
