Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2004-06-28,Daily,2003,0,,2003,0,,2003,10719,60-110,2004,241,37-57,2004,302,46-305,15900,14.1,2.1
RedBluff,2004-06-29,Daily,2003,0,,2003,0,,2003,8597,61-98,2004,126,32-59,2004,126,36-40,16000,14.2,2.2
RedBluff,2004-06-30,Daily,2003,0,,2003,0,,2003,9169,62-107,2004,243,30-60,2004,182,24-72,16000,14.5,2.3
RedBluff,2004-07-01,Daily,2004,0,,2003,0,,2003,13316,62-110,2004,182,38-60,2004,243,23-170,15900,14.3,2.2
RedBluff,2004-07-02,Daily,2004,0,,2003,0,,2003,15678,62-119,2004,242,59-61,2004,121,37-50,15800,14.3,2.4
RedBluff,2004-07-03,Daily,2004,0,,2003,63,140,2003,15441,62-100,2004,566,36-61,2004,63,26,16000,14.3,2.5
RedBluff,2004-07-04,Daily,2004,0,,2003,0,,2003,13876,62-101,2004,182,35-57,2004,302,47-74,15700,14.2,3.0
RedBluff,2004-07-05,Daily,2004,0,,2003,0,,2003,11695,63-102,2004,438,36-62,2004,312,29-59,15700,14.3,2.8
RedBluff,2004-07-06,Daily,2004,0,,2003,0,,2003,10878,63-101,2004,399,55-61,2004,228,24-65,15700,14.4,2.1
RedBluff,2004-07-07,Daily,2004,0,,2003,0,,2003,10986,64-107,2004,1108,37-63,2004,341,30-82,15700,14.6,2.3
RedBluff,2004-07-08,Daily,2004,0,,2003,0,,2003,9980,64-101,2004,958,36-63,2004,578,34-92,15600,14.4,2.3
RedBluff,2004-07-09,Daily,2004,0,,2003,0,,2003,9546,65-103,2004,1041,36-64,2004,245,36-100,15600,14.1,2.3
RedBluff,2004-07-10,Daily,2004,61,32,2003,0,,2003,8371,65-98,2004,980,36-64,2004,307,41-63,15800,14.1,1.9
RedBluff,2004-07-11,Daily,2004,0,,2003,0,,2003,908865,103,2004,1195,38-64,2004,728,28-76,15700,14.1,2.4
RedBluff,2004-07-12,Daily,2004,0,,2003,63,147,2003,9311,66-140,2004,1276,43-65,2004,696,25-90,15700,14.1,2.4
RedBluff,2004-07-13,Daily,2004,0,,2003,0,,2003,6058,66-100,2004,1120,37-65,2004,185,28-66,15600,14.1,2.1
RedBluff,2004-07-14,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15600,NA,NA
RedBluff,2004-07-15,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15600,NA,NA
RedBluff,2004-07-16,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15600,NA,NA
RedBluff,2004-07-17,Daily,2004,0,,2003,0,,2003,6788,68-100,2004,1248,57-67,2004,977,30-157,15700,14.3,2.3
RedBluff,2004-07-18,Daily,2004,255,31-36,2003,0,,2003,5182,69-98,2004,1019,58-67,2004,1020,24-66,15600,14.2,2.4
RedBluff,2004-07-19,Daily,2004,258,33-37,2003,0,,2003,6730,69-99,2004,1616,38-68,2004,1408,26-85,15600,14.2,2.1
RedBluff,2004-07-20,Daily,2004,420,34-38,2003,0,,2003,5623,69-102,2004,1687,39-68,2004,1530,25-59,15500,14.3,2.1
RedBluff,2004-07-21,Daily,2004,126,31-32,2003,0,,2003,8026,70-114,2004,2437,51-69,2004,1791,35-62,15400,14.4,2.3
RedBluff,2004-07-22,Daily,2004,290,36-38,2003,0,,2003,5660,70-105,2004,1685,39-69,2004,983,27-140,16700,14.4,2.4
RedBluff,2004-07-23,Daily,2004,187,35,2003,0,,2003,9187,71-102,2004,2902,39-70,2004,1309,27-64,16600,14.0,2.5
RedBluff,2004-07-24,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16700,NA,NA
RedBluff,2004-07-25,Daily,2004,485,34-38,2003,62,164,2003,4376,72-109,2004,1690,40-71,2004,804,25-131,16600,13.8,2.5
RedBluff,2004-07-26,Daily,2004,319,33-36,2003,0,,2003,3063,72-103,2004,1717,40-71,2004,702,39-55,16600,13.9,2.5
RedBluff,2004-07-27,Daily,2004,609,29-39,2003,0,,2003,2807,73-103,2004,1341,58-72,2004,425,46-68,16600,13.9,2.6
RedBluff,2004-07-28,Daily,2004,990,32-38,2003,0,,2003,3027,73-101,2004,992,57-72,2004,584,28-61,15700,14.1,2.3
RedBluff,2004-07-29,Daily,2004,1197,32-40,2003,0,,2003,2394,73-118,2004,1555,56-72,2004,658,30-61,15600,14.2,2.2
RedBluff,2004-07-30,Daily,2004,1025,33-39,2003,0,,2003,3403,74-107,2004,2011,51-73,2004,1456,41-103,14600,14.3,2.4
RedBluff,2004-07-31,Daily,2004,42133,38,2003,0,,2003,3309,75-109,2004,2046,41-73,2004,1322,35-81,14400,14.3,2.3
RedBluff,2004-08-01,Daily,2004,701,32-38,2003,0,,2003,4015,75-107,2004,3123,46-74,2004,1912,37-81,15100,13.9,2.4
RedBluff,2004-08-02,Daily,2004,431,34-36,2003,0,,2003,3504,75-101,2004,2955,50-74,2004,1785,44-85,14400,13.8,2.2
RedBluff,2004-08-03,Daily,2004,331,32-36,2003,0,,2003,3588,76-104,2004,2928,53-75,2004,2528,38-107,14500,13.7,2.2
