Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2012-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6380,9.6,NA
RedBluff,2012-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6350,9.4,NA
RedBluff,2012-01-03,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6290,9.6,NA
RedBluff,2012-01-04,Daily,2011,219,60-83,2011,28,42,2011,7675,29-40,2011,0,NA,2012,0,NA,6290,9.7,2.0
RedBluff,2012-01-05,Daily,2011,985,66-110,2011,0,NA,2011,13461,32-39,2011,0,NA,2012,0,NA,6330,9.9,2.0
RedBluff,2012-01-06,Daily,2011,757,60-109,2011,0,NA,2011,10461,33-40,2011,181,144-169,2012,0,NA,6310,9.7,2.3
RedBluff,2012-01-07,Daily,2011,398,67-79,2011,0,NA,2011,15898,30-40,2011,236,168-173,2012,0,NA,6310,9.4,1.9
RedBluff,2012-01-08,Daily,2011,116,69-76,2011,0,NA,2011,11213,31-40,2011,0,NA,2012,0,NA,6350,9.5,2.7
RedBluff,2012-01-09,Daily,2011,271,74-84,2011,136,47-49,2011,14343,29-40,2011,0,NA,2012,0,NA,6310,9.3,2.5
RedBluff,2012-01-10,Daily,2011,180,68-77,2011,0,NA,2011,17886,29-43,2011,0,NA,2012,0,NA,6280,9.0,1.9
RedBluff,2012-01-11,Daily,2011,171,61-79,2011,0,NA,2011,10868,29-43,2011,0,NA,2012,0,NA,6210,9.0,2.0
RedBluff,2012-01-12,Daily,2011,204,60-107,2011,32,56,2011,32450,30-44,2011,32,137,2012,33,99,6140,9.2,2.2
RedBluff,2012-01-13,Daily,2011,135,72-113,2011,0,NA,2011,31340,28-41,2011,0,NA,2012,0,NA,5930,8.9,2.0
RedBluff,2012-01-14,Daily,2011,501,62-120,2011,0,NA,2011,29271,29-42,2011,0,NA,2012,0,NA,5810,8.8,2.2
RedBluff,2012-01-15,Daily,2011,0,NA,2011,0,NA,2011,16245,30-45,2011,38,140,2012,0,NA,5720,8.8,2.7
RedBluff,2012-01-16,Daily,2011,240,75-85,2011,0,NA,2011,23752,30-41,2011,58,149,2012,0,NA,5680,8.1,1.8
RedBluff,2012-01-17,Daily,2011,405,68-110,2011,58,48,2011,31088,30-42,2011,58,125,2012,58,179,5630,7.6,1.9
RedBluff,2012-01-18,Daily,2011,57,63,2011,57,48,2011,22008,30-44,2011,0,NA,2012,0,NA,5590,7.8,1.8
RedBluff,2012-01-19,Daily,2011,84,69-87,2011,38,52,2011,12125,29-45,2011,0,NA,2012,0,NA,5570,8.2,2.1
RedBluff,2012-01-20,Daily,2011,221,78-123,2011,37,48,2011,6330,32-45,2011,38,147,2012,0,NA,6260,8.2,2.5
RedBluff,2012-01-21,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27700,7.2,NA
RedBluff,2012-01-22,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24600,7.3,NA
RedBluff,2012-01-23,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24500,6.9,NA
RedBluff,2012-01-24,Daily,2011,3215,76-81,2011,1496,52-57,2011,337227,30-47,2011,0,NA,2012,168,30,25700,7.8,27.3
RedBluff,2012-01-25,Daily,2011,739,77-111,2011,1632,49-64,2011,134755,28-47,2011,0,NA,2012,98,82-96,8770,8.9,12
RedBluff,2012-01-26,Daily,2011,367,68-103,2011,196,49-65,2011,45418,29-48,2011,39,154,2012,197,70-170,7110,9.7,7.9
RedBluff,2012-01-27,Daily,2011,1104,67-116,2011,219,50-54,2011,78347,29-47,2011,64,192,2012,37,105,8030,9.3,9.7
RedBluff,2012-01-28,Daily,2011,526,76-122,2011,186,52,2011,94469,29-48,2011,0,NA,2012,36,75,7600,8.5,7.8
RedBluff,2012-01-29,Daily,2011,144,73-85,2011,180,52-57,2011,57666,28-48,2011,0,NA,2012,68,101-126,6630,8.6,3.8
RedBluff,2012-01-30,Daily,2011,150,74-88,2011,194,50-67,2011,27506,28-49,2011,0,NA,2012,32,93,6180,9.2,3.0
RedBluff,2012-01-31,Daily,2011,0,NA,2011,103,55-57,2011,15984,29-49,2011,0,NA,2012,0,NA,5950,9.2,2.7
RedBluff,2012-02-01,Daily,2011,65,93,2011,0,NA,2011,16689,29-46,2011,0,NA,2012,0,NA,5830,9.6,3.0
RedBluff,2012-02-02,Daily,2011,29,105,2011,0,NA,2011,13204,29-49,2011,0,NA,2012,0,NA,5780,9.7,2.5
RedBluff,2012-02-03,Daily,2011,0,NA,2011,82,52-53,2011,24464,30-48,2011,0,NA,2012,64,85-91,5630,9.2,2.2
