Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2010-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4260,8.9,NA
RedBluff,2010-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7980,9.2,NA
RedBluff,2010-01-03,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6690,8.9,NA
RedBluff,2010-01-04,Daily,2009,0,,2009,433,42-50,2009,161392,31-41,2009,0,,2010,0,,4990,8.5,5.9
RedBluff,2010-01-05,Daily,2009,53,85,2009,166,47-48,2009,65263,30-42,2009,0,,2010,0,,4450,8.6,4.3
RedBluff,2010-01-06,Daily,2009,0,,2009,85,43-45,2009,25346,32-42,2009,0,,2010,0,,4210,8.7,5.0
RedBluff,2010-01-07,Daily,2009,58,71,2009,115,43-51,2009,9530,33-41,2009,0,,2010,0,,4070,8.7,3.3
RedBluff,2010-01-08,Daily,2009,0,,2009,0,,2009,5621,30-41,2009,0,,2010,0,,3990,8.9,3.1
RedBluff,2010-01-09,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3990,9.1,NA
RedBluff,2010-01-10,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3940,9.3,NA
RedBluff,2010-01-11,Daily,2009,0,,2009,0,,2009,9276,32-41,2009,0,,2010,0,,3920,9.6,2.2
RedBluff,2010-01-12,Daily,2009,0,,2009,0,,2009,7801,32-44,2009,0,,2010,0,,4500,9.7,2.4
RedBluff,2010-01-13,Daily,2009,4897,67-106,2009,3880,46-55,2009,511713,31-43,2009,1119,132-142,2010,234,169,13300,10.0,45.9
RedBluff,2010-01-14,Daily,2009,0,,2009,541,45,2009,411338,30-42,2009,0,,2010,0,,15000,9.7,65.7
RedBluff,2010-01-15,Daily,2009,1506,82-113,2009,4082,46-58,2009,320879,30-45,2009,220,126,2010,156,105-125,8030,9.1,16.4
RedBluff,2010-01-16,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5740,9.2,NA
RedBluff,2010-01-17,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5150,9.6,NA
RedBluff,2010-01-18,Daily,2009,1425,124,2009,0,,2009,365353,32-44,2009,0,,2010,0,,9830,9.6,246.3
RedBluff,2010-01-19,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30100,9.2,NA
RedBluff,2010-01-20,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36600,8.4,NA
RedBluff,2010-01-21,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60400,8.1,NA
RedBluff,2010-01-22,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24900,8.4,NA
RedBluff,2010-01-23,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17300,8.3,NA
RedBluff,2010-01-24,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21500,8.0,NA
RedBluff,2010-01-25,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27100,8.1,NA
RedBluff,2010-01-26,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49600,7.8,NA
RedBluff,2010-01-27,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41400,8.6,NA
RedBluff,2010-01-28,Daily,2009,597,86-121,2009,293,50-53,2009,55041,32-49,2009,0,,2010,0,,15100,8.7,32.8
RedBluff,2010-01-29,Daily,2009,73,116,2009,613,52-59,2009,35021,31-49,2009,0,,2010,0,,10700,9.2,15.3
RedBluff,2010-01-30,Daily,2009,0,,2009,133,50-54,2009,16647,32-48,2009,0,,2010,0,,8780,9.6,10.1
RedBluff,2010-01-31,Daily,2009,314,71-118,2009,73,65,2009,64937,30-50,2009,0,,2010,0,,12600,9.7,21.4
RedBluff,2010-02-01,Daily,2009,160,75-124,2009,55,56,2009,26348,31-50,2009,0,,2010,0,,10300,9.4,12.0
RedBluff,2010-02-02,Daily,2009,0,,2009,139,52-66,2009,44493,30-48,2009,0,,2010,46,195,10300,8.7,7.4
RedBluff,2010-02-03,Daily,2009,103,89-105,2009,103,54-59,2009,34919,29-47,2009,0,,2010,0,,9900,9.5,9.2
RedBluff,2010-02-04,Daily,2009,0,,2009,41,53,2009,14115,31-42,2009,0,,2010,0,,7780,9.8,9.5
RedBluff,2010-02-05,Daily,2009,0,,2009,0,,2009,48811,29-44,2009,0,,2010,0,,33800,9.6,14.5
RedBluff,2010-02-06,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35900,9.9,NA
RedBluff,2010-02-07,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29300,9.8,NA
RedBluff,2010-02-08,Daily,2009,0,,2009,242,53-69,2009,118747,30-52,2009,0,,2010,0,,18100,9.6,33.4
RedBluff,2010-02-09,Daily,2009,54,78,2009,96,56,2009,53791,29-52,2009,0,,2010,0,,11600,9.7,19.3
RedBluff,2010-02-10,Daily,2009,118,88-107,2009,248,54-68,2009,55442,30-53,2009,0,,2010,0,,12700,9.6,15.1
