Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2006-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,108000,NA,NA
RedBluff,2006-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84600,NA,NA
RedBluff,2006-01-03,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77300,NA,NA
RedBluff,2006-01-04,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79700,NA,NA
RedBluff,2006-01-05,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,78900,NA,NA
RedBluff,2006-01-06,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65200,NA,NA
RedBluff,2006-01-07,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62100,NA,NA
RedBluff,2006-01-08,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61500,NA,NA
RedBluff,2006-01-09,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59300,NA,NA
RedBluff,2006-01-10,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59500,NA,NA
RedBluff,2006-01-11,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58900,NA,NA
RedBluff,2006-01-12,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63800,NA,NA
RedBluff,2006-01-13,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60700,NA,NA
RedBluff,2006-01-14,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56500,NA,NA
RedBluff,2006-01-15,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,76100,NA,NA
