Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2015-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6050,7.3,NA
RedBluff,2015-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5900,7.7,NA
RedBluff,2015-01-03,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5760,7.8,NA
RedBluff,2015-01-04,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5610,8.3,NA
RedBluff,2015-01-05,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5510,8.8,NA
RedBluff,2015-01-06,Daily,2014,533,71-106,2014,0,NA,2014,91040,31-40,2014,322,118-122,2015,0,NA,5440,9.2,21.8
RedBluff,2015-01-07,Daily,2014,614,62-108,2014,115,47,2014,84804,29-42,2014,384,123-128,2015,0,NA,5370,9.6,20.0
RedBluff,2015-01-08,Daily,2014,331,85-112,2014,110,44,2014,90140,30-40,2014,0,NA,2015,0,NA,5330,9.6,19.8
RedBluff,2015-01-09,Daily,2014,488,96-114,2014,0,NA,2014,86862,30-40,2014,0,NA,2015,0,NA,5230,9.9,18.8
RedBluff,2015-01-10,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5180,10.0,NA
RedBluff,2015-01-11,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5110,10.1,NA
RedBluff,2015-01-12,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5010,10.4,NA
RedBluff,2015-01-13,Daily,2014,0,NA,2014,0,NA,2014,103978,29-40,2014,0,NA,2015,0,NA,5010,10.6,15.5
RedBluff,2015-01-14,Daily,2014,201,105,2014,0,NA,2014,114684,32-40,2014,0,NA,2015,0,NA,4790,10.2,17.3
RedBluff,2015-01-15,Daily,2014,386,105,2014,130,54,2014,97957,30-40,2014,0,NA,2015,0,NA,4760,9.6,16.2
RedBluff,2015-01-16,Daily,2014,328,116-123,2014,0,NA,2014,67731,31-41,2014,0,NA,2015,0,NA,4910,9.8,15.9
RedBluff,2015-01-17,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4760,10.4,NA
RedBluff,2015-01-18,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4760,11.0,NA
RedBluff,2015-01-19,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4890,11.1,NA
RedBluff,2015-01-20,Daily,2014,361,67-116,2014,0,NA,2014,62764,32-42,2014,75,172,2015,0,NA,4890,10.6,14.1
