Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2007-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7820,8.4,NA
RedBluff,2007-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7570,8.6,NA
RedBluff,2007-01-03,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7420,8.6,NA
RedBluff,2007-01-04,Daily,2006,100,98,2006,0,,2006,4786,34-40,2006,0,,2007,0,,9510,8.7,3.6
RedBluff,2007-01-05,Daily,2006,1440,62-111,2006,0,,2006,45704,32-40,2006,1648,115-175,2007,0,,9400,8.1,5.8
RedBluff,2007-01-06,Daily,2006,196,65-91,2006,294,46,2006,85132,30-41,2006,0,,2007,0,,8260,7.5,3.3
RedBluff,2007-01-07,Daily,2006,519,67-99,2006,139,44,2006,66579,30-42,2006,0,,2007,0,,7740,7.5,2.7
RedBluff,2007-01-08,Daily,2006,788,78-113,2006,103,44-45,2006,81186,32-40,2006,191,168,2007,52,187,7550,9.1,1.9
RedBluff,2007-01-09,Daily,2006,262,77,2006,156,48,2006,76452,32-41,2006,0,,2007,0,,7220,8.8,2.3
RedBluff,2007-01-10,Daily,2006,576,61-117,2006,0,,2006,52003,33-40,2006,0,,2007,0,,6990,8.1,2.1
RedBluff,2007-01-11,Daily,2006,369,63-77,2006,0,,2006,56784,31-41,2006,0,,2007,0,,6820,7.0,2.0
RedBluff,2007-01-12,Daily,2006,0,,2006,0,,2006,74768,30-41,2006,0,,2007,0,,6700,7.0,1.6
RedBluff,2007-01-13,Daily,2006,295,83-103,2006,0,,2006,81352,33-41,2006,152,148,2007,0,,6620,6.7,1.4
RedBluff,2007-01-14,Daily,2006,314,81-108,2006,0,,2006,60575,32-42,2006,0,,2007,0,,6590,7.0,1.4
RedBluff,2007-01-15,Daily,2006,380,71-105,2006,0,,2006,71782,32-40,2006,0,,2007,0,,6570,7.0,1.5
RedBluff,2007-01-16,Daily,2006,202,93-110,2006,0,,2006,73194,32-41,2006,0,,2007,44,145,6570,7.2,1.4
RedBluff,2007-01-17,Daily,2006,161,116,2006,0,,2006,57711,31-41,2006,0,,2007,0,,6570,7.5,1.3
RedBluff,2007-01-18,Daily,2006,110,108,2006,110,48,2006,53861,33-43,2006,0,,2007,0,,6610,7.8,1.6
RedBluff,2007-01-19,Daily,2006,0,,2006,0,,2006,98635,32-41,2006,0,,2007,0,,6430,8.0,1.2
RedBluff,2007-01-20,Daily,2006,231,65,2006,0,,2006,107328,30-41,2006,0,,2007,0,,6350,8.2,1.4
RedBluff,2007-01-21,Daily,2006,0,,2006,0,,2006,98614,32-45,2006,0,,2007,0,,6310,8.0,1.4
RedBluff,2007-01-22,Daily,2006,33,69,2006,0,,2006,80248,32-42,2006,0,,2007,0,,6300,8.0,1.3
RedBluff,2007-01-23,Daily,2006,171,100-118,2006,0,,2006,62787,31-44,2006,0,,2007,0,,6260,8.3,1.3
RedBluff,2007-01-24,Daily,2006,289,73-124,2006,204,51,2006,93479,32-41,2006,149,147,2007,0,,6240,8.0,1.2
RedBluff,2007-01-25,Daily,2006,0,,2006,0,,2006,78887,30-45,2006,0,,2007,0,,6120,8.1,1.3
