"","Date","runname","Dailypassage","Month"
"1",2004-06-28,"Winter.Chinook.Passage.Estimate",0,6
"2",2004-06-29,"Winter.Chinook.Passage.Estimate",0,6
"3",2004-06-30,"Winter.Chinook.Passage.Estimate",0,6
"4",2004-07-01,"Winter.Chinook.Passage.Estimate",0,7
"5",2004-07-02,"Winter.Chinook.Passage.Estimate",0,7
"6",2004-07-03,"Winter.Chinook.Passage.Estimate",0,7
"7",2004-07-04,"Winter.Chinook.Passage.Estimate",0,7
"8",2004-07-05,"Winter.Chinook.Passage.Estimate",0,7
"9",2004-07-06,"Winter.Chinook.Passage.Estimate",0,7
"10",2004-07-07,"Winter.Chinook.Passage.Estimate",0,7
"11",2004-07-08,"Winter.Chinook.Passage.Estimate",0,7
"12",2004-07-09,"Winter.Chinook.Passage.Estimate",0,7
"13",2004-07-10,"Winter.Chinook.Passage.Estimate",61,7
"14",2004-07-11,"Winter.Chinook.Passage.Estimate",0,7
"15",2004-07-12,"Winter.Chinook.Passage.Estimate",0,7
"16",2004-07-13,"Winter.Chinook.Passage.Estimate",0,7
"17",2004-07-17,"Winter.Chinook.Passage.Estimate",0,7
"18",2004-07-18,"Winter.Chinook.Passage.Estimate",255,7
"19",2004-07-19,"Winter.Chinook.Passage.Estimate",258,7
"20",2004-07-20,"Winter.Chinook.Passage.Estimate",420,7
"21",2004-07-21,"Winter.Chinook.Passage.Estimate",126,7
"22",2004-07-22,"Winter.Chinook.Passage.Estimate",290,7
"23",2004-07-23,"Winter.Chinook.Passage.Estimate",187,7
"24",2004-07-25,"Winter.Chinook.Passage.Estimate",485,7
"25",2004-07-26,"Winter.Chinook.Passage.Estimate",319,7
"26",2004-07-27,"Winter.Chinook.Passage.Estimate",609,7
"27",2004-07-28,"Winter.Chinook.Passage.Estimate",990,7
"28",2004-07-29,"Winter.Chinook.Passage.Estimate",1197,7
"29",2004-07-30,"Winter.Chinook.Passage.Estimate",1025,7
"30",2004-07-31,"Winter.Chinook.Passage.Estimate",42133,7
"31",2004-08-01,"Winter.Chinook.Passage.Estimate",701,8
"32",2004-08-02,"Winter.Chinook.Passage.Estimate",431,8
"33",2004-08-03,"Winter.Chinook.Passage.Estimate",331,8
"34",2004-08-04,"Winter.Chinook.Passage.Estimate",915,8
"35",2004-08-05,"Winter.Chinook.Passage.Estimate",1486,8
"36",2004-08-06,"Winter.Chinook.Passage.Estimate",1942,8
"37",2004-08-07,"Winter.Chinook.Passage.Estimate",3852,8
"38",2004-08-08,"Winter.Chinook.Passage.Estimate",2383,8
"39",2004-08-09,"Winter.Chinook.Passage.Estimate",2265,8
"40",2004-08-10,"Winter.Chinook.Passage.Estimate",3230,8
"41",2004-08-11,"Winter.Chinook.Passage.Estimate",3304,8
"42",2004-08-12,"Winter.Chinook.Passage.Estimate",3893,8
"43",2004-08-13,"Winter.Chinook.Passage.Estimate",5113,8
"44",2004-08-14,"Winter.Chinook.Passage.Estimate",5365,8
"45",2004-08-15,"Winter.Chinook.Passage.Estimate",3699,8
"46",2004-08-16,"Winter.Chinook.Passage.Estimate",6951,8
"47",2004-08-17,"Winter.Chinook.Passage.Estimate",6395,8
"48",2004-08-18,"Winter.Chinook.Passage.Estimate",6025,8
"49",2004-08-19,"Winter.Chinook.Passage.Estimate",6879,8
"50",2004-08-20,"Winter.Chinook.Passage.Estimate",6162,8
"51",2004-08-21,"Winter.Chinook.Passage.Estimate",7294,8
"52",2004-08-22,"Winter.Chinook.Passage.Estimate",9450,8
"53",2004-08-23,"Winter.Chinook.Passage.Estimate",7856,8
"54",2004-08-24,"Winter.Chinook.Passage.Estimate",12673,8
"55",2004-08-25,"Winter.Chinook.Passage.Estimate",14355,8
"56",2004-08-26,"Winter.Chinook.Passage.Estimate",13301,8
"57",2004-08-27,"Winter.Chinook.Passage.Estimate",18859,8
"58",2004-08-28,"Winter.Chinook.Passage.Estimate",26031,8
"59",2004-08-29,"Winter.Chinook.Passage.Estimate",19216,8
"60",2004-08-30,"Winter.Chinook.Passage.Estimate",16688,8
"61",2004-08-31,"Winter.Chinook.Passage.Estimate",19488,8
"62",2004-09-01,"Winter.Chinook.Passage.Estimate",23007,9
"63",2004-09-02,"Winter.Chinook.Passage.Estimate",28542,9
"64",2004-09-03,"Winter.Chinook.Passage.Estimate",33652,9
"65",2004-09-04,"Winter.Chinook.Passage.Estimate",38429,9
"66",2004-09-05,"Winter.Chinook.Passage.Estimate",49037,9
"67",2004-09-06,"Winter.Chinook.Passage.Estimate",54168,9
"68",2004-09-07,"Winter.Chinook.Passage.Estimate",56328,9
"69",2004-09-08,"Winter.Chinook.Passage.Estimate",78367,9
"70",2004-09-15,"Winter.Chinook.Passage.Estimate",115076,9
"71",2004-09-16,"Winter.Chinook.Passage.Estimate",107136,9
"72",2004-09-17,"Winter.Chinook.Passage.Estimate",103752,9
"73",2004-09-18,"Winter.Chinook.Passage.Estimate",91016,9
"74",2004-09-19,"Winter.Chinook.Passage.Estimate",72133,9
"75",2004-09-20,"Winter.Chinook.Passage.Estimate",89645,9
"76",2004-09-21,"Winter.Chinook.Passage.Estimate",132159,9
"77",2004-09-22,"Winter.Chinook.Passage.Estimate",118996,9
"78",2004-09-23,"Winter.Chinook.Passage.Estimate",87844,9
"79",2004-09-24,"Winter.Chinook.Passage.Estimate",72874,9
"80",2004-09-25,"Winter.Chinook.Passage.Estimate",54819,9
"81",2004-09-26,"Winter.Chinook.Passage.Estimate",45914,9
"82",2004-09-27,"Winter.Chinook.Passage.Estimate",38143,9
"83",2004-09-28,"Winter.Chinook.Passage.Estimate",38149,9
"84",2004-09-29,"Winter.Chinook.Passage.Estimate",23294,9
"85",2004-09-30,"Winter.Chinook.Passage.Estimate",18459,9
"86",2004-10-01,"Winter.Chinook.Passage.Estimate",29155,10
"87",2004-10-02,"Winter.Chinook.Passage.Estimate",28314,10
"88",2004-10-03,"Winter.Chinook.Passage.Estimate",26703,10
"89",2004-10-04,"Winter.Chinook.Passage.Estimate",19585,10
"90",2004-10-05,"Winter.Chinook.Passage.Estimate",27835,10
"91",2004-10-06,"Winter.Chinook.Passage.Estimate",30859,10
"92",2004-10-07,"Winter.Chinook.Passage.Estimate",35597,10
"93",2004-10-08,"Winter.Chinook.Passage.Estimate",30007,10
"94",2004-10-09,"Winter.Chinook.Passage.Estimate",42262,10
"95",2004-10-10,"Winter.Chinook.Passage.Estimate",50854,10
"96",2004-10-11,"Winter.Chinook.Passage.Estimate",51638,10
"97",2004-10-12,"Winter.Chinook.Passage.Estimate",41298,10
"98",2004-10-13,"Winter.Chinook.Passage.Estimate",40287,10
"99",2004-10-14,"Winter.Chinook.Passage.Estimate",35130,10
"100",2004-10-15,"Winter.Chinook.Passage.Estimate",20619,10
"101",2004-10-16,"Winter.Chinook.Passage.Estimate",20669,10
"102",2004-10-17,"Winter.Chinook.Passage.Estimate",28253,10
"103",2004-10-18,"Winter.Chinook.Passage.Estimate",17830,10
"104",2004-10-19,"Winter.Chinook.Passage.Estimate",51282,10
"105",2004-10-20,"Winter.Chinook.Passage.Estimate",48925,10
"106",2004-10-21,"Winter.Chinook.Passage.Estimate",113950,10
"107",2004-10-22,"Winter.Chinook.Passage.Estimate",22032,10
"108",2004-10-23,"Winter.Chinook.Passage.Estimate",2716,10
"109",2004-10-24,"Winter.Chinook.Passage.Estimate",2251,10
"110",2004-10-25,"Winter.Chinook.Passage.Estimate",5867,10
"111",2004-10-26,"Winter.Chinook.Passage.Estimate",2486,10
"112",2004-10-27,"Winter.Chinook.Passage.Estimate",14499,10
"113",2004-10-28,"Winter.Chinook.Passage.Estimate",9421,10
"114",2004-10-29,"Winter.Chinook.Passage.Estimate",1399,10
"115",2004-10-30,"Winter.Chinook.Passage.Estimate",4383,10
"116",2004-10-31,"Winter.Chinook.Passage.Estimate",7255,10
"117",2004-11-01,"Winter.Chinook.Passage.Estimate",7068,11
"118",2004-11-02,"Winter.Chinook.Passage.Estimate",7230,11
"119",2004-11-03,"Winter.Chinook.Passage.Estimate",2353,11
"120",2004-11-04,"Winter.Chinook.Passage.Estimate",2010,11
"121",2004-11-05,"Winter.Chinook.Passage.Estimate",6794,11
"122",2004-11-06,"Winter.Chinook.Passage.Estimate",5563,11
"123",2004-11-07,"Winter.Chinook.Passage.Estimate",4650,11
"124",2004-11-08,"Winter.Chinook.Passage.Estimate",2549,11
"125",2004-11-09,"Winter.Chinook.Passage.Estimate",982,11
"126",2004-11-10,"Winter.Chinook.Passage.Estimate",699,11
"127",2004-11-11,"Winter.Chinook.Passage.Estimate",504,11
"128",2004-11-12,"Winter.Chinook.Passage.Estimate",1775,11
"129",2004-11-13,"Winter.Chinook.Passage.Estimate",2848,11
"130",2004-11-14,"Winter.Chinook.Passage.Estimate",2986,11
"131",2004-11-15,"Winter.Chinook.Passage.Estimate",2162,11
"132",2004-11-16,"Winter.Chinook.Passage.Estimate",2037,11
"133",2004-11-17,"Winter.Chinook.Passage.Estimate",3414,11
"134",2004-11-18,"Winter.Chinook.Passage.Estimate",4415,11
"135",2004-11-19,"Winter.Chinook.Passage.Estimate",3409,11
"136",2004-11-20,"Winter.Chinook.Passage.Estimate",6551,11
"137",2004-11-21,"Winter.Chinook.Passage.Estimate",6533,11
"138",2004-11-22,"Winter.Chinook.Passage.Estimate",5864,11
"139",2004-11-23,"Winter.Chinook.Passage.Estimate",5426,11
"140",2004-11-24,"Winter.Chinook.Passage.Estimate",6503,11
"141",2004-11-25,"Winter.Chinook.Passage.Estimate",1825,11
"142",2004-11-26,"Winter.Chinook.Passage.Estimate",285,11
"143",2004-11-27,"Winter.Chinook.Passage.Estimate",192,11
"144",2004-11-28,"Winter.Chinook.Passage.Estimate",871,11
"145",2004-11-29,"Winter.Chinook.Passage.Estimate",831,11
"146",2004-11-30,"Winter.Chinook.Passage.Estimate",1114,11
"147",2004-12-01,"Winter.Chinook.Passage.Estimate",677,12
"148",2004-12-02,"Winter.Chinook.Passage.Estimate",1157,12
"149",2004-12-03,"Winter.Chinook.Passage.Estimate",955,12
"150",2004-12-04,"Winter.Chinook.Passage.Estimate",1550,12
"151",2004-12-05,"Winter.Chinook.Passage.Estimate",544,12
"152",2004-12-06,"Winter.Chinook.Passage.Estimate",493,12
"153",2004-12-07,"Winter.Chinook.Passage.Estimate",216,12
"154",2004-12-08,"Winter.Chinook.Passage.Estimate",7594,12
"155",2004-12-10,"Winter.Chinook.Passage.Estimate",8510,12
"156",2004-12-11,"Winter.Chinook.Passage.Estimate",1438,12
"157",2004-12-12,"Winter.Chinook.Passage.Estimate",396,12
"158",2004-12-13,"Winter.Chinook.Passage.Estimate",256,12
"159",2004-12-14,"Winter.Chinook.Passage.Estimate",0,12
"160",2004-12-15,"Winter.Chinook.Passage.Estimate",69,12
"161",2004-12-16,"Winter.Chinook.Passage.Estimate",34,12
"162",2004-12-17,"Winter.Chinook.Passage.Estimate",35,12
"163",2004-12-18,"Winter.Chinook.Passage.Estimate",66,12
"164",2004-12-19,"Winter.Chinook.Passage.Estimate",171,12
"165",2004-12-20,"Winter.Chinook.Passage.Estimate",191,12
"166",2004-12-21,"Winter.Chinook.Passage.Estimate",35,12
"167",2004-12-22,"Winter.Chinook.Passage.Estimate",290,12
"168",2004-12-23,"Winter.Chinook.Passage.Estimate",131,12
"169",2004-12-24,"Winter.Chinook.Passage.Estimate",63,12
"170",2004-12-30,"Winter.Chinook.Passage.Estimate",2498,12
"171",2004-12-31,"Winter.Chinook.Passage.Estimate",1472,12
"172",2005-01-03,"Winter.Chinook.Passage.Estimate",173,1
"173",2005-01-04,"Winter.Chinook.Passage.Estimate",0,1
"174",2005-01-05,"Winter.Chinook.Passage.Estimate",171,1
"175",2005-01-06,"Winter.Chinook.Passage.Estimate",42,1
"176",2005-01-07,"Winter.Chinook.Passage.Estimate",36,1
"177",2005-01-09,"Winter.Chinook.Passage.Estimate",2150,1
"178",2005-01-10,"Winter.Chinook.Passage.Estimate",298,1
"179",2005-01-11,"Winter.Chinook.Passage.Estimate",152,1
"180",2005-01-12,"Winter.Chinook.Passage.Estimate",241,1
"181",2005-01-13,"Winter.Chinook.Passage.Estimate",0,1
"182",2005-01-14,"Winter.Chinook.Passage.Estimate",75,1
"183",2005-01-15,"Winter.Chinook.Passage.Estimate",132,1
"184",2005-01-16,"Winter.Chinook.Passage.Estimate",0,1
"185",2005-01-17,"Winter.Chinook.Passage.Estimate",0,1
"186",2005-01-18,"Winter.Chinook.Passage.Estimate",0,1
"187",2005-01-19,"Winter.Chinook.Passage.Estimate",57,1
"188",2005-01-20,"Winter.Chinook.Passage.Estimate",31,1
"189",2005-01-21,"Winter.Chinook.Passage.Estimate",0,1
"190",2005-01-22,"Winter.Chinook.Passage.Estimate",0,1
"191",2005-01-23,"Winter.Chinook.Passage.Estimate",0,1
"192",2005-01-24,"Winter.Chinook.Passage.Estimate",54,1
"193",2005-01-25,"Winter.Chinook.Passage.Estimate",0,1
"194",2005-01-26,"Winter.Chinook.Passage.Estimate",0,1
"195",2005-01-30,"Winter.Chinook.Passage.Estimate",0,1
"196",2005-01-31,"Winter.Chinook.Passage.Estimate",0,1
"197",2005-02-01,"Winter.Chinook.Passage.Estimate",0,2
"198",2005-02-02,"Winter.Chinook.Passage.Estimate",269,2
"199",2005-02-03,"Winter.Chinook.Passage.Estimate",0,2
"200",2005-02-04,"Winter.Chinook.Passage.Estimate",0,2
"201",2005-02-05,"Winter.Chinook.Passage.Estimate",0,2
"202",2005-02-06,"Winter.Chinook.Passage.Estimate",0,2
"203",2005-02-07,"Winter.Chinook.Passage.Estimate",40,2
"204",2005-02-08,"Winter.Chinook.Passage.Estimate",33,2
"205",2005-02-09,"Winter.Chinook.Passage.Estimate",0,2
"206",2005-02-10,"Winter.Chinook.Passage.Estimate",0,2
"207",2005-02-11,"Winter.Chinook.Passage.Estimate",0,2
"208",2005-02-12,"Winter.Chinook.Passage.Estimate",0,2
"209",2005-02-13,"Winter.Chinook.Passage.Estimate",0,2
"210",2005-02-14,"Winter.Chinook.Passage.Estimate",28,2
"211",2005-02-15,"Winter.Chinook.Passage.Estimate",0,2
"212",2005-02-16,"Winter.Chinook.Passage.Estimate",0,2
"213",2005-02-17,"Winter.Chinook.Passage.Estimate",0,2
"214",2005-02-18,"Winter.Chinook.Passage.Estimate",32,2
"215",2005-02-19,"Winter.Chinook.Passage.Estimate",0,2
"216",2005-02-20,"Winter.Chinook.Passage.Estimate",468,2
"217",2005-02-21,"Winter.Chinook.Passage.Estimate",3785,2
"218",2005-02-22,"Winter.Chinook.Passage.Estimate",1882,2
"219",2005-02-23,"Winter.Chinook.Passage.Estimate",0,2
"220",2005-02-24,"Winter.Chinook.Passage.Estimate",0,2
"221",2005-02-25,"Winter.Chinook.Passage.Estimate",0,2
"222",2005-02-26,"Winter.Chinook.Passage.Estimate",0,2
"223",2005-02-27,"Winter.Chinook.Passage.Estimate",31,2
"224",2005-02-28,"Winter.Chinook.Passage.Estimate",40,2
"225",2005-03-01,"Winter.Chinook.Passage.Estimate",918,3
"226",2005-03-02,"Winter.Chinook.Passage.Estimate",0,3
"227",2005-03-03,"Winter.Chinook.Passage.Estimate",0,3
"228",2005-03-04,"Winter.Chinook.Passage.Estimate",0,3
"229",2005-03-05,"Winter.Chinook.Passage.Estimate",0,3
"230",2005-03-06,"Winter.Chinook.Passage.Estimate",71,3
"231",2005-03-07,"Winter.Chinook.Passage.Estimate",98,3
"232",2005-03-08,"Winter.Chinook.Passage.Estimate",173,3
"233",2005-03-09,"Winter.Chinook.Passage.Estimate",34,3
"234",2005-03-10,"Winter.Chinook.Passage.Estimate",64,3
"235",2005-03-11,"Winter.Chinook.Passage.Estimate",67,3
"236",2005-03-12,"Winter.Chinook.Passage.Estimate",32,3
"237",2005-03-13,"Winter.Chinook.Passage.Estimate",44,3
"238",2005-03-14,"Winter.Chinook.Passage.Estimate",0,3
"239",2005-03-15,"Winter.Chinook.Passage.Estimate",65,3
"240",2005-03-16,"Winter.Chinook.Passage.Estimate",0,3
"241",2005-03-17,"Winter.Chinook.Passage.Estimate",31,3
"242",2005-03-18,"Winter.Chinook.Passage.Estimate",0,3
"243",2005-03-19,"Winter.Chinook.Passage.Estimate",0,3
"244",2005-03-20,"Winter.Chinook.Passage.Estimate",0,3
"245",2005-03-21,"Winter.Chinook.Passage.Estimate",93,3
"246",2005-03-25,"Winter.Chinook.Passage.Estimate",0,3
"247",2005-03-26,"Winter.Chinook.Passage.Estimate",124,3
"248",2005-03-27,"Winter.Chinook.Passage.Estimate",0,3
"249",2005-03-28,"Winter.Chinook.Passage.Estimate",0,3
"250",2005-03-29,"Winter.Chinook.Passage.Estimate",0,3
"251",2005-03-30,"Winter.Chinook.Passage.Estimate",187,3
"252",2005-03-31,"Winter.Chinook.Passage.Estimate",77,3
"253",2005-04-01,"Winter.Chinook.Passage.Estimate",0,4
"254",2005-04-02,"Winter.Chinook.Passage.Estimate",38,4
"255",2005-04-03,"Winter.Chinook.Passage.Estimate",0,4
"256",2005-04-04,"Winter.Chinook.Passage.Estimate",31,4
"257",2005-04-05,"Winter.Chinook.Passage.Estimate",37,4
"258",2005-04-06,"Winter.Chinook.Passage.Estimate",34,4
"259",2005-04-07,"Winter.Chinook.Passage.Estimate",0,4
"260",2005-04-08,"Winter.Chinook.Passage.Estimate",71,4
"261",2005-04-10,"Winter.Chinook.Passage.Estimate",138,4
"262",2005-04-11,"Winter.Chinook.Passage.Estimate",38,4
"263",2005-04-12,"Winter.Chinook.Passage.Estimate",43,4
"264",2005-04-13,"Winter.Chinook.Passage.Estimate",0,4
"265",2005-04-14,"Winter.Chinook.Passage.Estimate",34,4
"266",2005-04-15,"Winter.Chinook.Passage.Estimate",34,4
"267",2005-04-19,"Winter.Chinook.Passage.Estimate",0,4
"268",2005-04-20,"Winter.Chinook.Passage.Estimate",0,4
"269",2005-04-21,"Winter.Chinook.Passage.Estimate",0,4
"270",2005-04-22,"Winter.Chinook.Passage.Estimate",73,4
"271",2005-04-23,"Winter.Chinook.Passage.Estimate",0,4
"272",2005-04-24,"Winter.Chinook.Passage.Estimate",88,4
"273",2005-04-25,"Winter.Chinook.Passage.Estimate",0,4
"274",2005-04-26,"Winter.Chinook.Passage.Estimate",0,4
"275",2005-04-27,"Winter.Chinook.Passage.Estimate",0,4
"276",2005-04-28,"Winter.Chinook.Passage.Estimate",0,4
"277",2005-04-29,"Winter.Chinook.Passage.Estimate",0,4
"278",2005-04-30,"Winter.Chinook.Passage.Estimate",0,4
"279",2005-05-03,"Winter.Chinook.Passage.Estimate",0,5
"280",2005-05-04,"Winter.Chinook.Passage.Estimate",170,5
"281",2005-05-06,"Winter.Chinook.Passage.Estimate",0,5
"282",2005-05-07,"Winter.Chinook.Passage.Estimate",0,5
"283",2005-05-08,"Winter.Chinook.Passage.Estimate",0,5
"284",2005-05-11,"Winter.Chinook.Passage.Estimate",211,5
"285",2005-05-12,"Winter.Chinook.Passage.Estimate",0,5
"286",2005-05-13,"Winter.Chinook.Passage.Estimate",0,5
"287",2005-06-07,"Winter.Chinook.Passage.Estimate",0,6
