Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,1/1/2019,Daily,2018,815,66-109,2018,0,NA,2018,40527,28-39,2018,109,128-145,2019,0,NA,5451,8.5,2.2
RedBluff,1/2/2019,Daily,2018,610,61-91,2018,0,NA,2018,55378,29-41,2018,91,114,2019,0,NA,5362,8.5,2
RedBluff,1/3/2019,Daily,2018,1898,59-92,2018,0,NA,2018,56468,29-40,2018,79,136,2019,0,NA,5340,8.7,1.9
RedBluff,1/4/2019,Daily,2018,202,72,2018,202,52,2018,47152,31-39,2018,77,139,2019,0,NA,5340,8.9,2.3
RedBluff,1/5/2019,Daily,2018,165,58-70,2018,79,55,2018,28708,29-39,2018,0,NA,2019,0,NA,5274,8.8,2.4
RedBluff,1/6/2019,Daily,2018,2052,63-90,2018,0,NA,2018,76294,30-39,2018,736,120-138,2019,0,NA,8096,8.7,7.8
RedBluff,1/7/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22172,8.3,NA
RedBluff,1/8/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16211,9.3,NA
RedBluff,1/9/2019,Daily,2018,486,79,2018,849,45-50,2018,77462,29-41,2018,0,NA,2019,0,NA,31921,10.2,16.9
RedBluff,1/10/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36352,10.4,NA
RedBluff,1/11/2019,Daily,2018,616,87-112,2018,262,44,2018,161978,28-42,2018,0,NA,2019,0,NA,12432,10.1,26.8
RedBluff,1/12/2019,Daily,2018,918,62-84,2018,262,45-55,2018,181299,29-44,2018,524,120-127,2019,71,124,9326,9.9,10.7
RedBluff,1/13/2019,Daily,2018,251,64-80,2018,288,45-48,2018,95926,29-44,2018,155,130,2019,0,NA,7710,9.8,7.3
RedBluff,1/14/2019,Daily,2018,1344,66-77,2018,252,54-55,2018,110540,28-44,2018,110,122,2019,0,NA,6948,9.4,7.3
RedBluff,1/15/2019,Daily,2018,265,74,2018,0,NA,2018,75793,27-40,2018,0,NA,2019,0,NA,6401,9.7,7.8
RedBluff,1/16/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12139,9.8,NA
RedBluff,1/17/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63670,10,NA
RedBluff,1/18/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62560,9.4,NA
RedBluff,1/19/2019,Daily,2018,0,NA,2018,1577,57,2018,502498,30-45,2018,0,NA,2019,0,NA,17857,9.6,117
RedBluff,1/20/2019,Daily,2018,0,NA,2018,4492,47-58,2018,395650,28-44,2018,0,NA,2019,0,NA,16885,10.3,63.6
RedBluff,1/21/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38955,9.4,NA
RedBluff,1/22/2019,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23289,8.8,NA
RedBluff,1/23/2019,Daily,2018,841,65-115,2018,393,48-55,2018,92873,29-47,2018,98,132,2019,0,NA,12497,8.6,29.5
RedBluff,1/24/2019,Daily,2018,299,77-128,2018,671,48-62,2018,62518,28-47,2018,0,NA,2019,0,NA,9927,8.9,14.5
RedBluff,1/25/2019,Daily,2018,376,71-89,2018,127,49,2018,47874,28-48,2018,0,NA,2019,0,NA,8442,9.3,11.2
