Year,SR_Hatcheries,SR_Mainstem,SR_Tributaries,SR_Total,SJ_Hatcheries,SJ_Tributaries,SJ_Total,TO_Hatcheries,TO_InRiver,Total
1975,17102,89302,81160,187564,1099,6726,7825,18201,177188,195389
1976,14140,83735,92660,190535,718,3955,4673,14858,180350,195208
1977,22565,63396,97991,183952,661,1050,1711,23226,162437,185663
1978,16855,80241,56705,153801,586,2575,3161,17441,139521,156962
1979,25626,112743,84180,222549,734,4363,5097,26360,201286,227646
1980,30601,50549,83891,165041,796,6300,7096,31397,140740,172137
1981,41531,69552,118554,229637,924,29698,30622,42455,217804,260259
1982,39211,40544,131190,210945,2866,16895,19761,42077,188629,230706
1983,26622,56977,72046,155645,6363,43282,49645,32985,172305,205290
1984,44324,54925,99483,198732,2109,62066,64175,46433,216474,262907
1985,35976,94148,148431,278555,1434,76315,77749,37410,318894,356304
1986,26804,107365,135144,269313,2563,25944,28507,29367,268453,297820
1987,32622,107682,134480,274784,1588,25211,26799,34210,267373,301583
1988,28720,82260,136245,247225,585,20626,21211,29305,239131,268436
1989,29305,59069,90484,178858,163,3329,3492,29468,152882,182350
1990,25611,48284,12803,86698,114,1041,1155,25725,62128,87853
1991,28528,30631,72296,131455,83,917,1000,28611,103844,132455
1992,30171,32229,44995,107395,1078,1940,3018,31249,79164,110413
1993,30234,46231,82975,159440,2573,3410,5983,32807,132616,165423
1994,42760,58546,111078,212384,2862,5421,8283,45622,175045,220667
1995,45324,63934,211025,320283,3925,5960,9885,49249,280919,330168
1996,36936,84086,213646,334668,5024,11859,16883,41960,309591,351551
1997,71448,119296,185484,376228,7440,19129,26569,78888,323909,402797
1998,75028,6318,141079,222425,3890,19711,23601,78918,167108,246026
1999,49657,161192,180501,391350,4787,18122,22909,54444,359815,414259
2000,50965,96688,290698,438351,7396,39934,47330,58361,427320,485681
2001,61318,75296,453323,589937,7391,27303,34694,68709,555922,624631
2002,96248,65690,672962,834900,9753,28016,37769,106001,766668,872669
2003,118097,89229,362161,569487,8666,12839,21505,126763,464229,590992
2004,116869,43604,202904,363377,11406,12065,23471,128275,258573,386848
2005,187427,57012,172457,416896,5984,14813,20797,193411,244282,437693
2006,80594,55468,146427,282489,4289,6176,10465,84883,208071,292954
2007,22511,17061,54767,94339,1130,1699,2829,23641,73527,97168
2008,18785,24743,25618,69146,315,1830,2145,19100,52191,71291
2009,20904,5827,22842,49573,1799,1757,3556,22703,30426,53129
2010,46305,16372,90154,152831,5421,4937,10358,51726,111463,163189
2011,87388,11957,105460,204805,16293,6500,22793,103681,123917,227598
2012,135706,28701,155450,319857,7620,13342,20962,143326,197493,340819
2013,106719,40084,279871,426674,6279,14668,20947,112998,334623,447621
2014,51040,34876,152587,238503,9627,8090,17717,60667,195553,256220
2015,46349,28660,58186,133195,9504,12281,21785,55853,99127,154980
2016,38309,4573,64316,107198,9883,16450,26333,48192,85339,133531
2017,40700,2260,25731,68691,16280,16251,32531,56980,44242,101222
