Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2016-01-01,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4470,7.4,NA
RedBluff,2016-01-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4370,7.3,NA
RedBluff,2016-01-03,Daily,2015,0,NA,2015,0,NA,2015,19631,32-39,2015,52,121,2016,0,NA,4370,7.9,2.3
RedBluff,2016-01-04,Daily,2015,29,112,2015,55,44,2015,16903,32-40,2015,81,125-136,2016,0,NA,4310,8.3,2.3
RedBluff,2016-01-05,Daily,2015,0,NA,2015,0,NA,2015,20179,32-41,2015,0,NA,2016,0,NA,6450,8.5,3.1
RedBluff,2016-01-06,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27800,8.3,NA
RedBluff,2016-01-07,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21900,8.4,NA
RedBluff,2016-01-08,Daily,2015,0,NA,2015,2303,43,2015,727750,31-42,2015,0,NA,2016,0,NA,17500,8.7,17.5
RedBluff,2016-01-09,Daily,2015,2473,59-115,2015,692,44-45,2015,69215,31-41,2015,0,NA,2016,0,NA,8510,8.9,11.4
RedBluff,2016-01-10,Daily,2015,0,NA,2015,495,46-47,2015,154422,30-43,2015,225,126,2016,243,112,12200,8.6,7.9
RedBluff,2016-01-11,Daily,2015,0,NA,2015,0,NA,2015,178218,29-42,2015,242,130,2016,1043,160-200,11100,8.8,33.4
RedBluff,2016-01-12,Daily,2015,0,NA,2015,171,47,2015,170453,31-40,2015,0,NA,2016,0,NA,7350,9.1,8.2
RedBluff,2016-01-13,Daily,2015,0,NA,2015,197,47,2015,68025,31-43,2015,0,NA,2016,0,NA,7490,9.5,5.6
RedBluff,2016-01-14,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17500,9.4,NA
RedBluff,2016-01-15,Daily,2015,3236,83,2015,0,NA,2015,3448655,31-44,2015,0,NA,2016,0,NA,29000,8.0,35.8
RedBluff,2016-01-16,Daily,2015,0,NA,2015,2512,46-57,2015,490286,31-45,2015,0,NA,2016,0,NA,27100,8.7,47.5
RedBluff,2016-01-17,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22400,9.5,NA
RedBluff,2016-01-18,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66300,10.4,NA
