Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2014-01-01,Daily,2013,1550,57-110,2013,74,47,2013,71721,29-41,2013,0,NA,2014,0,NA,4280,9.3,1.4
RedBluff,2014-01-02,Daily,2013,144,64,2013,160,48,2013,84625,32-41,2013,144,113,2014,0,NA,4280,9.4,1.5
RedBluff,2014-01-03,Daily,2013,883,70-104,2013,303,47,2013,76041,32-41,2013,0,NA,2014,38,92,4150,9.6,1.6
RedBluff,2014-01-04,Daily,2013,1368,61-81,2013,321,42-47,2013,78519,32-40,2013,203,121,2014,0,NA,4310,9.4,1.5
RedBluff,2014-01-05,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4310,8.9,NA
RedBluff,2014-01-06,Daily,2013,338,76-80,2013,200,45,2013,85587,29-42,2013,0,NA,2014,0,NA,4090,8.7,1.6
RedBluff,2014-01-07,Daily,2013,870,61-86,2013,798,45-48,2013,70408,33-42,2013,286,122,2014,0,NA,3910,8.7,1.5
RedBluff,2014-01-08,Daily,2013,1235,66-101,2013,139,46,2013,95084,33-41,2013,0,NA,2014,0,NA,3970,8.6,1.7
RedBluff,2014-01-09,Daily,2013,513,65-109,2013,256,44-45,2013,34873,27-43,2013,0,NA,2014,0,NA,4000,8.8,1.6
RedBluff,2014-01-10,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3830,9.1,NA
RedBluff,2014-01-11,Daily,2013,443,66-92,2013,296,45-49,2013,37088,33-41,2013,0,NA,2014,0,NA,4060,9.0,1.7
RedBluff,2014-01-12,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3910,8.8,NA
RedBluff,2014-01-13,Daily,2013,2494,60-104,2013,779,45-54,2013,55030,32-42,2013,156,126,2014,0,NA,3890,8.8,1.9
RedBluff,2014-01-14,Daily,2013,879,70-107,2013,0,NA,2013,44219,32-42,2013,0,NA,2014,0,NA,3890,9.1,1.6
RedBluff,2014-01-15,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4170,9.1,1.6
RedBluff,2014-01-16,Daily,2013,2053,65-88,2013,147,54,2013,25668,30-44,2013,0,NA,2014,0,NA,3830,9.0,1.5
RedBluff,2014-01-17,Daily,2013,2088,64-115,2013,653,48-60,2013,68910,31-44,2013,0,NA,2014,0,NA,3830,8.9,1.7
RedBluff,2014-01-18,Daily,2013,135,63,2013,0,NA,2013,106238,30-45,2013,0,NA,2014,0,NA,3830,8.9,1.7
RedBluff,2014-01-19,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3830,8.9,NA
RedBluff,2014-01-20,Daily,2013,1768,63-81,2013,966,47-50,2013,107398,29-46,2013,0,NA,2014,0,NA,3830,8.9,1.8
RedBluff,2014-01-21,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3830,8.7,NA
RedBluff,2014-01-22,Daily,2013,2209,65-105,2013,0,NA,2013,115184,30-42,2013,0,NA,2014,0,NA,3800,8.8,1.6
RedBluff,2014-01-23,Daily,2013,422,70,2013,422,55,2013,134878,31-47,2013,0,NA,2014,0,NA,3830,9.2,1.8
RedBluff,2014-01-24,Daily,2013,2279,68-96,2013,1212,57-64,2013,78127,31-47,2013,0,NA,2014,0,NA,3800,9.6,1.8
RedBluff,2014-01-25,Daily,2013,481,79,2013,131,54,2013,89943,31-48,2013,0,NA,2014,0,NA,3800,9.6,1.7
RedBluff,2014-01-26,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3770,9.3,NA
RedBluff,2014-01-27,Daily,2013,901,77-122,2013,123,51,2013,108142,29-47,2013,0,NA,2014,0,NA,3770,9.2,1.7
RedBluff,2014-01-28,Daily,2013,147,98,2013,293,54-59,2013,64325,31-44,2013,0,NA,2014,0,NA,4370,9.2,1.7
RedBluff,2014-01-29,Daily,2013,164,67-103,2013,0,NA,2013,49908,32-46,2013,0,NA,2014,39,116,4420,10.3,2.3
RedBluff,2014-01-30,Daily,2013,530,72-95,2013,449,51-66,2013,76621,33-49,2013,0,NA,2014,43,83,4470,10.3,1.9
RedBluff,2014-01-31,Daily,2013,135,108,2013,275,52,2013,92936,32-50,2013,0,NA,2014,0,NA,4470,9.7,1.7
RedBluff,2014-02-01,Daily,2013,166,96,2013,845,53-64,2013,145450,31-47,2013,0,NA,2014,43,87,4450,8.9,2.4
RedBluff,2014-02-02,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4450,8.4,NA
RedBluff,2014-02-03,Daily,2013,1009,78-101,2013,564,52-67,2013,95907,32-50,2013,266,184-192,2014,0,NA,4470,8.5,1.7
RedBluff,2014-02-04,Daily,2013,522,73-123,2013,1717,52-66,2013,126705,30-48,2013,0,NA,2014,0,NA,4470,8.3,1.7
RedBluff,2014-02-05,Daily,2013,557,76-114,2013,1386,53-68,2013,91404,32-51,2013,0,NA,2014,0,NA,4450,8.3,1.7
RedBluff,2014-02-06,Daily,2013,473,72-127,2013,562,52-70,2013,30839,31-51,2013,0,NA,2014,0,NA,4420,8.4,1.9
RedBluff,2014-02-07,Daily,2013,694,75-125,2013,812,53-65,2013,26478,30-50,2013,83,145,2014,0,NA,4500,8.7,2.4
RedBluff,2014-02-08,Daily,2013,1050,77-131,2013,1925,53-71,2013,44810,32-51,2013,0,NA,2014,0,NA,5350,9.2,2.7
RedBluff,2014-02-09,Daily,2013,4912,76-130,2013,5099,54-70,2013,225426,31-52,2013,0,NA,2014,0,NA,7520,9.9,67.0
RedBluff,2014-02-10,Daily,2013,49974,73-125,2013,49543,55-69,2013,7680690,32-53,2013,2423,149-157,2014,0,NA,20200,10.5,117.1
RedBluff,2014-02-11,Daily,2013,7209,81-130,2013,23858,54-63,2013,3258422,29-53,2013,0,NA,2014,878,103-138,15300,10.3,52.5
RedBluff,2014-02-12,Daily,2013,2267,106-132,2013,9271,54-66,2013,322986,30-53,2013,0,NA,2014,198,95,6070,10.5,7.3
