Project,Date,DataType,Winter Chinook BY,Winter Chinook Passage Estimate,Winter Chinook Length,Spring Chinook BY,Spring Chinook Passage Estimate,Spring Chinook Length,Fall Chinook BY,Fall Chinook Passage Estimate,Fall Chinook Length,Late-Fall Chinook BY,Late-Fall Chinook Passage Estimate,Late-Fall Chinook Length,Steelhead BY,Steelhead Passage Estimate,Steelhead Length,Bend Bridge Peak Flow (CFS),Water Temperature (C),Turbidity (NTU)
RedBluff,2011-01-01,Daily,2010,4402,56-105,2010,1572,41-52,2010,57228,31-39,2010,0,NA,2011,314,67,23000,9.0,7.6
RedBluff,2011-01-02,Daily,2010,1453,60-76,2010,291,46,2010,27324,31-40,2010,0,NA,2011,0,NA,20700,9.4,5.9
RedBluff,2011-01-03,Daily,2010,948,64-85,2010,237,42,2010,146038,30-40,2010,0,NA,2011,0,NA,20100,9.4,6.9
RedBluff,2011-01-04,Daily,2010,2134,63-109,2010,433,43-52,2010,94723,30-41,2010,63,114,2011,0,NA,19800,9.3,5.2
RedBluff,2011-01-05,Daily,2010,2491,57-114,2010,246,45-56,2010,72521,30-42,2010,0,NA,2011,0,NA,19200,9.2,4.8
RedBluff,2011-01-06,Daily,2010,1800,64-103,2010,1200,43-49,2010,104708,32-42,2010,600,119,2011,0,NA,18700,9.3,3.5
RedBluff,2011-01-07,Daily,2010,579,61-83,2010,772,43-56,2010,97676,29-42,2010,0,NA,2011,0,NA,18300,9.1,5.3
RedBluff,2011-01-08,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15600,8.9,NA
RedBluff,2011-01-09,Daily,2010,390,64-113,2010,0,NA,2010,39154,33-40,2010,0,NA,2011,0,NA,15100,8.8,3.3
RedBluff,2011-01-10,Daily,2010,933,66-113,2010,0,NA,2010,124250,31-43,2010,0,NA,2011,0,NA,14800,8.3,3.5
RedBluff,2011-01-11,Daily,2010,669,68-116,2010,408,44-55,2010,71687,28-43,2010,130,124,2011,0,NA,13000,8.4,3.6
RedBluff,2011-01-12,Daily,2010,188,72-96,2010,175,45-47,2010,29653,30-44,2010,135,123,2011,38,43,11500,8.9,2.9
RedBluff,2011-01-13,Daily,2010,154,72-117,2010,54,49,2010,55518,31-41,2010,0,NA,2011,0,NA,11300,9.4,2.4
RedBluff,2011-01-14,Daily,2010,371,65-91,2010,113,45,2010,170894,28-43,2010,0,NA,2011,0,NA,15300,9.4,23.3
RedBluff,2011-01-15,Daily,2010,322,77-110,2010,151,52,2010,153839,30-45,2010,0,NA,2011,0,NA,13800,9.7,8.2
RedBluff,2011-01-16,Daily,2010,1079,69-90,2010,0,NA,2010,142307,30-45,2010,0,NA,2011,0,NA,11300,10.2,4.9
RedBluff,2011-01-17,Daily,2010,570,67-111,2010,176,46-56,2010,55530,30-41,2010,0,NA,2011,41,76,10300,10.4,6.3
RedBluff,2011-01-18,Daily,2010,331,63-86,2010,126,48-55,2010,62527,31-45,2010,0,NA,2011,0,NA,10600,10.1,12.4
RedBluff,2011-01-19,Daily,2010,128,119,2010,128,58,2010,84275,30-42,2010,0,NA,2011,0,NA,10500,9.8,7.5
RedBluff,2011-01-20,Daily,2010,425,76-91,2010,0,NA,2010,120270,31-45,2010,0,NA,2011,0,NA,9910,9.5,8.1
RedBluff,2011-01-21,Daily,2010,1596,67-124,2010,610,49-63,2010,114211,30-40,2010,0,NA,2011,0,NA,9460,9.5,5.4
RedBluff,2011-01-22,Daily,2010,1536,66-115,2010,660,54-58,2010,118063,30-41,2010,0,NA,2011,89,96-190,8900,9.8,3.5
RedBluff,2011-01-23,Daily,2010,577,67-110,2010,108,62,2010,91166,29-47,2010,0,NA,2011,30,89,8580,9.7,3.5
RedBluff,2011-01-24,Daily,2010,517,88-109,2010,121,53,2010,92693,28-45,2010,0,NA,2011,0,NA,8000,9.6,2.3
RedBluff,2011-01-25,Daily,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7690,9.8,NA
RedBluff,2011-01-26,Daily,2010,389,69-113,2010,77,62,2010,79933,28-47,2010,0,NA,2011,0,NA,7500,10.1,3.7
RedBluff,2011-01-27,Daily,2010,225,69-82,2010,112,50-54,2010,51161,29-44,2010,0,NA,2011,0,NA,7090,9.9,2.6
RedBluff,2011-01-28,Daily,2010,206,81-100,2010,0,NA,2010,55709,30-49,2010,0,NA,2011,27,65,6800,9.6,2.7
RedBluff,2011-01-29,Daily,2010,50,70,2010,97,51-56,2010,37703,26-48,2010,0,NA,2011,27,125,6540,9.3,2.7
RedBluff,2011-01-30,Daily,2010,0,NA,2010,25,51,2010,22199,29-48,2010,0,NA,2011,0,NA,6220,9.1,2.1
RedBluff,2011-01-31,Daily,2010,82,88,2010,56,55,2010,65389,30-47,2010,0,NA,2011,0,NA,6200,9.2,2.2
RedBluff,2011-02-01,Daily,2010,0,NA,2010,200,53,2010,106551,26-44,2010,0,NA,2011,27,106,6110,9.3,2.6
RedBluff,2011-02-02,Daily,2010,79,69,2010,238,52,2010,84373,30-50,2010,0,NA,2011,0,NA,5950,8.8,2.8
RedBluff,2011-02-03,Daily,2010,0,NA,2010,88,52,2010,63805,30-46,2010,0,NA,2011,0,NA,5830,8.9,2.2
RedBluff,2011-02-04,Daily,2010,0,NA,2010,0,NA,2010,37060,30-47,2010,0,NA,2011,0,NA,5850,9.4,2.8
RedBluff,2011-02-05,Daily,2010,32,81,2010,0,NA,2010,22014,30-47,2010,0,NA,2011,33,71,5760,10.2,2.3
RedBluff,2011-02-06,Daily,2010,99,75-100,2010,207,57-65,2010,22322,29-41,2010,0,NA,2011,0,NA,5740,10.7,2.0
RedBluff,2011-02-07,Daily,2010,0,NA,2010,0,NA,2010,20384,29-50,2010,0,NA,2011,0,NA,5600,10.7,2.9
RedBluff,2011-02-08,Daily,2010,110,120,2010,23,61,2010,32942,30-49,2010,0,NA,2011,0,NA,5570,9.8,1.9
RedBluff,2011-02-09,Daily,2010,26,131,2010,26,58,2010,31144,30-50,2010,0,NA,2011,0,NA,5520,9.2,1.9
RedBluff,2011-02-10,Daily,2010,51,112,2010,136,58-68,2010,33406,29-52,2010,0,NA,2011,0,NA,5430,9.3,2.4
RedBluff,2011-02-11,Daily,2010,112,75-105,2010,45,55-58,2010,19280,30-48,2010,0,NA,2011,0,NA,5330,9.6,2.1
RedBluff,2011-02-12,Daily,2010,75,74-85,2010,0,NA,2010,22499,30-52,2010,0,NA,2011,0,NA,5430,9.8,2.0
RedBluff,2011-02-13,Daily,2010,25,125,2010,74,58-61,2010,13850,29-52,2010,0,NA,2011,0,NA,5260,10.1,1.8
RedBluff,2011-02-14,Daily,2010,0,NA,2010,72,60-62,2010,13569,30-52,2010,0,NA,2011,0,NA,5330,9.5,3.6
RedBluff,2011-02-15,Daily,2010,49,93-114,2010,48,56-66,2010,6607,31-52,2010,0,NA,2011,0,NA,5880,9.4,2.6
RedBluff,2011-02-16,Daily,2010,0,NA,2010,129,56-57,2010,47075,30-55,2010,0,NA,2011,0,NA,9870,9.3,5.5
RedBluff,2011-02-17,Daily,2010,1669,103-124,2010,937,56,2010,707221,30-55,2010,0,NA,2011,37,79,13000,7.7,21.0
