"Year","Index"
1995,4.4
1996,36.1
1997,146.8
1998,15.1
1999,73.7
2000,144.4
2001,206.3
2002,432.6
2003,94.7
2004,55.3
2005,32.6
2006,4
2007,27.5
2008,89.2
2009,70
2010,54.4
2011,11.1
2012,33.9
2013,126.1
2014,21.3
2015,6.4
2016,7.6
2017,3.8
2018,6.4
2019,3.4
2020,3.8
2021,15.7
2022,42.6
