"","x"
"1","Nk"
"2","Cor"
"3","Am"
"4","Aab"
"5","Aa"
"6","UnidG"
"7","UnidC"
"8","UnidA"
"9","Ah"
"10","Gd"
"11","Asp"
"12","Ab"
"13","Cra"
"14","Hya"
"15","Ast"
"16","Unid"
"17","Dh"
"18","Nm"
