year,n,nvsl,nfh,catch.sub,catch.leg,catch.ovr,catch.slt,catch.tot,m.cpue.sub,m.cpue.leg,m.cpue.ovr,m.cpue.slt,m.cpue.tot,v.cpue.sub,v.cpue.leg,v.cpue.ovr,v.cpue.slt,v.cpue.tot
1954,34,1,0,110,883,0,694,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,1,1,0,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,23,1,0,1,1611,0,939,1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,68,1,10460.0225,2,1070,0,822,1072,0.016553485,10.16618272,0,7.874152009,10.18273621,0.00941101,97.14304834,0,53.99578449,98.24047409
1974,125,1,30264.575,2,720,0,557,796,0.008194547,2.33794584,0,1.800105335,2.582864772,0.004475119,7.761851427,0,5.471752603,8.108902781
1979,98,1,25619.625,5,1386,0,852,1472,0.02007152,4.892865534,0,2.992359675,5.202834609,0.0150922,45.05181022,0,20.67742307,51.23534305
1984,76,1,12145.1625,114,2587,0,1823,2750,1.11192374,21.08260796,0,14.94875151,22.50089278,2.220953397,237.5903453,0,135.5551936,273.4128601
1985,107,1,21998.98,66,2468,0,1983,2609,0.274452617,9.683642819,0,7.752273084,10.22243307,0.176699279,60.42305898,0,41.29414101,67.33991976
1987,147,1,24221.645,41,1035,0,760,1098,0.148927331,3.900160053,0,2.88069865,4.128861816,0.14239147,17.00877683,0,9.352948081,19.20146254
1990,129,1,26292.025,349,616,7,495,975,1.19772716,2.156370089,0.022279019,1.734740124,3.386391724,2.613137493,5.924394322,0.011987501,4.104603753,15.08675247
1991,104,1,24143.295,529,396,7,363,938,1.967931397,1.442989153,0.024319642,1.321394433,3.45491418,6.262819826,3.986530907,0.015250583,3.55542549,18.0820452
1993,107,1,23046.1125,591,212,2,250,805,2.43799318,0.858668064,0.006973172,1.004545583,3.303634417,6.666020243,1.15040276,0.002576903,1.651618159,11.32370382
1994,132,1,28602.995,541,271,5,316,819,1.800734576,0.913681492,0.015313377,1.060290446,2.736061358,2.790054064,0.834694103,0.008544136,1.081478569,5.318882327
1997,112,1,25469.08,344,1011,9,1072,1366,1.248501861,3.641899959,0.035444929,3.867421807,4.934900089,1.636011903,12.53436503,0.014949427,13.92079864,20.73997951
1998,111,1,23043.85,253,1251,19,1274,1526,1.079121224,5.061336451,0.079012429,5.161522318,6.2330259,2.328104444,18.00349297,0.046645113,19.74088058,27.6667008
2001,191,1,41479.16875,205,976,29,930,1220,0.453741512,2.23843948,0.061113266,2.131159156,2.782233387,0.403327485,6.700909333,0.035765273,6.097256178,8.289821259
2002,135,1,29950.3575,128,443,6,406,581,0.450467286,1.501457139,0.021644953,1.372894192,1.989156741,0.329099676,2.031959316,0.014215203,1.771043387,3.000428803
2005,79,1,18011.17,126,156,4,167,291,0.677356673,0.843867176,0.023749147,0.896674441,1.569288745,0.681694803,1.292825785,0.01092159,1.399630503,3.25049911
2006,212,2,39057.98667,307,423,22,439,753,0.762371518,1.075679951,0.04945978,1.106166894,1.889951067,1.253996527,1.815407196,0.023525666,1.797755331,4.85047992
2007,332,2,25076.66667,393,398,66,450,876,1.548019322,1.588819011,0.29290099,1.798578608,3.511152888,4.821553863,4.977514146,0.574635254,6.096417124,17.37584056
2008,249,1,19071.45833,224,331,62,370,617,1.150798374,1.699763049,0.314836838,1.902283148,3.165398261,2.526606015,4.644079153,0.438476277,5.427555242,11.13378077
2009,364,2,25527.35833,226,293,27,341,546,0.861754129,1.158881511,0.108886359,1.335454632,2.129521999,2.362519835,3.783944895,0.218196758,4.486702808,8.019249473
2010,320,2,21136.25667,169,193,41,205,403,0.819353253,0.925664308,0.186487262,0.982708179,1.931504822,2.701967455,2.997778888,0.29157804,3.157143791,8.771143405
2011,400,2,26823.4,370,303,58,326,731,1.352138163,1.015086984,0.197998326,1.092909829,2.565223472,4.355099655,2.250240811,0.302731557,2.608903202,9.068533312
2012,290,2,19649.76667,208,100,28,108,337,0.980783349,0.476810011,0.134217146,0.513994119,1.59612085,3.912763793,1.029960912,0.230343551,1.088980771,7.357010918
2013,211,2,13411.35,113,57,23,57,194,0.81020982,0.388633465,0.169817555,0.388633465,1.37634625,2.607048615,0.73806306,0.264717181,0.73806306,4.861664657
2014,399,2,24687.75333,377,120,24,120,521,1.493728185,0.462243976,0.088272956,0.462243976,2.044245116,7.301212514,0.90541261,0.12532448,0.90541261,9.219001992
2015,348,2,22505.06667,226,113,19,113,358,1.014014816,0.491810584,0.086055019,0.491810584,1.591880418,2.552709481,1.066864848,0.148093338,1.066864848,4.2923162
2016,191,2,12109.16667,77,37,7,37,121,0.639199414,0.309059522,0.058028224,0.309059522,1.00628716,1.562643201,0.575987642,0.094291412,0.575987642,2.292534474
2017,186,2,11362.5,218,156,37,156,412,1.822287245,1.297482726,0.311184028,1.297482726,3.439672395,6.928757268,3.233696248,0.489762217,3.233696248,15.67094667
2019,168,1,10697.5,109,140,19,140,269,1.007356565,1.276715046,0.171982671,1.276715046,2.464765084,3.057806977,3.039894851,0.260786551,3.039894851,8.792069459
